Index,Year,Authors,Name,Bibtex,DOI,AR OST HWD,AR VST HWD,Handheld AR (Smartphone),Handheld AR (Tablet),Spatial AR (projector based),Stereoscopic Projection,CAVE,VR HWD,Smartwatch,Smartphone,Tablet,Laptop,Desktop,Projection,Large Display,Tabletop,Symmetric,Asymmetric,Remote Control,Dynamic Lens,Augmented Display,VESAD,Logical Distribution,Migratory Interface,Parallel,Serial,Exclusive,Single User,Multi-user - Shared Component,Multi-user - Indvidual Component,Near,Personal,Social,Public,Flexible,Semi-Fixed,Fixed,Unidirectional (MR-centric),Bidirectional,Unidirectional (2D-centric),Co-Located,Remote,Component-coupled,Dynamic,Free,Development/Authoring,Gaming,DataVis/Data Analysis,SciVis,Medical,Productivity,Collaboration,Entertainment,3D Object Manipulation,3D Design/Sketching,Text Entry / Annotations,Study,Other / None,Term: Hybrid UI,Term: Hybrid <other>,Term: Cross-Device,Term: Cross-Reality,Term: Multi-Device,Term: Augmented Display,Term: Transitional,Undefined,Other Terms,Empirical,Artifact,Method,Theory,Dataset,Survey,Opinion,Empirical (-),Artifact (-),Method (-),Theory (-),Dataset (-),Survey (-),Opinion (-),Informative,Demonstration,Technical Evaluation,Usage,Heuristic,No Evaluation,Edge Case
3,2005,"Christian Sandor, Alex Olwal, Blaine Bell, Steven Feiner",Immersive mixed-reality configuration of hybrid user interfaces,"@inproceedings{sandor2005immersive,
  title = {Immersive Mixed-Reality Configuration of Hybrid User Interfaces},
  booktitle = {Proceedings - {{Fourth IEEE}} and {{ACM International Symposium}} on {{Symposium}} on {{Mixed}} and {{Augmented Reality}}, {{ISMAR}} 2005},
  author = {Sandor, Christian and Olwal, Alex and Bell, Blaine and Feiner, Steven},
  year = {2005},
  volume = {2005},
  pages = {110--113},
  publisher = {IEEE},
  doi = {10.1109/ISMAR.2005.37},
  abstract = {Information in hybrid user interfaces can be spread over a variety of different, but complementary, displays, with which users interact through a potentially equally varied range of interaction devices. Since the exact configuration of these displays and devices may not be known in advance, it is desirable for users to be able to reconfigure at runtime the dataflow between interaction devices and objects on the displays. To make this possible, we present the design and implementation of a prototype mixed reality system that allows users to immersively reconfigure a running hybrid user interface.},
  isbn = {0-7695-2459-1}
}",10.1109/ISMAR.2005.37,x,,,,,,,,,,,,x,,,,,,,,,,x,,x,,,x,,,,x,,,,,x,,x,,x,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,
8,2006,"Alexander Bornik, Reinhard Beichel, Dieter Schmalstieg",Interactive editing of segmented volumetric datasets in a hybrid 2D/3D virtual environment,"@inproceedings{bornik2006interactive,
  title = {Interactive Editing of Segmented Volumetric Datasets in a Hybrid {{2D}}/{{3D}} Virtual Environment},
  booktitle = {Proceedings of the {{ACM}} Symposium on Virtual Reality Software and Technology},
  author = {Bornik, Alexander and Beichel, Reinhard and Schmalstieg, Dieter},
  year = {2006},
  series = {Vrst '06},
  pages = {197--206},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/1180495.1180536},
  abstract = {In this paper we present a novel system for segmentation refine-ment, which allows for interactive correction of surface models generated from imperfect automatic segmentations of arbitrary volumetric data. The proposed approach is based on a deformable surface model allowing interactive manipulation with a hybrid user interface consisting of an immersive stereoscopic display and a Tablet PC. The user interface features visualization methods and manipulation tools specifically designed for quick inspection and correction of typical defects resulting from automated segmentation of medical datasets. A number of experiments show that typical segmentation problems can be fixed within a few minutes using the system, while maintaining real-time responsiveness of the system.},
  isbn = {1-59593-321-2}
}",10.1145/1180495.1180536,,,,,,x,,,,,x,,,,,,,,,,,,x,,,x,,x,,,,x,,,,,x,,,x,x,,,,x,,,,,x,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,
9,1991,"Steven Feiner, Ari Shamash",Hybrid user interfaces: Breeding virtually bigger interfaces for physically smaller computers,"@inproceedings{feiner1991hybrid,
  title = {Hybrid User Interfaces: {{Breeding}} Virtually Bigger Interfaces for Physically Smaller Computers},
  booktitle = {Proceedings of the 4th {{Annual ACM Symposium}} on {{User Interface Software}} and {{Technology}}, {{UIST}} 1991},
  author = {Feiner, Steven and Shamash, Ari},
  year = {1991},
  pages = {9--17},
  abstract = {While virtual worlds offer a compelling alternative to conventional interfaces, the technologies these systems currently use do not provide sufficient resolution and accuracy to support detailed work such as text editing. We describe a pragmatic approach to interface design that provides users with a large virtual world in which such high-resolution work can be performed. Our approach is based on combining heterogeneous display and interaction device technologies to produce a hybrid user interface. Display and interaction technologies that have relatively low resolution, but which cover a wide (visual and interactive) field are used to form an information surround. Display and interaction technologies that have relatively high resolution over a limited visual and interaction range are used to present concentrated information in one or more selected portions of the surround. These highresolution fields are embedded within the low-resolution surround by choosing and coordinating complementary devices that permit the user to see and interact with both simultaneously. This allows each embedded high-resolution interface to serve as a ""sweet spot"" within which information may be preferentially processed. We have developed a preliminary implementation, described in this paper, that uses a Reflection Technology Private Eye display and a Polhemus sensor to provide the secondary lowresolution surround, and a flat-panel display and mouse to provide the primary high-resolution interface.},
  isbn = {0-89791-451-1}
}
",10.1145/120782.120783,x,,,,,,,,,,,,x,,,,,,,,,x,,,x,,,x,,,,x,,,,x,,,,x,x,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,x,,,,,,,,,-,,,,,,,,,x,
14,2009,"Felipe Carvalho, Alberto Raposo, Marcelo Gattass",Designing a hybrid user interface: a case study on an oil and gas application,"@inproceedings{decarvalho2009designing,
  title = {Designing a Hybrid User Interface: A Case Study on an Oil and Gas Application},
  booktitle = {Proceedings of the 8th International Conference on Virtual Reality Continuum and Its Applications in Industry},
  author = {{de Carvalho}, Felipe Gomes and Raposo, Alberto and Gattass, Marcelo},
  year = {2009},
  series = {Vrcai '09},
  pages = {191--196},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/1670252.1670293},
  abstract = {The post-WIMP (Windows, Icons, Menu and Pointer) user interfaces are creating new interaction modalities and the use of new input and output devices. Many of these new interfaces are not yet mature, and issues related with the clear definition of an application's context and technological requirements are still under investigation. The study of the relationship between the properties of interaction devices and their influence on the performance of 3D tasks (navigation, manipulation, and selection) is an important factor in the identification of adequate setups for carrying out these tasks. Evidences of this relationship are being described by new studies on interaction tasks. However, in a broader context, each task can be decomposed into subtasks whose technological demands can be a challenge, since they require multiple interaction environments as well as transitions between them. Therefore, this work proposes a hybrid technological setup to integrate the advantages of different functional environments. In order to achieve such goal, a semi-immersive environment composed of 3 functional environments was developed and transitions between these environments were exploited during a 3D annotation task in an oil and gas application.},
  isbn = {978-1-60558-912-1}
}",10.1145/1670252.1670293,,,,,,,x,,,,,,x,,,,,,,,,,x,,,x,x,x,,,,x,,,x,,,,x,,x,,,x,,,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,
29,2014,"Jia Wang, Robert Lindeman",Coordinated 3D interaction in tablet- and HMD-based hybrid virtual environments,"@inproceedings{wang2014coordinated,
  title = {Coordinated {{3D}} Interaction in Tablet- and {{HMD-based}} Hybrid Virtual Environments},
  booktitle = {Proceedings of the 2nd {{ACM}} Symposium on Spatial User Interaction},
  author = {Wang, Jia and Lindeman, Robert},
  year = {2014},
  series = {Sui '14},
  pages = {70--79},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/2659766.2659777},
  abstract = {Traditional 3D User Interfaces (3DUI) in immersive virtual reality can be inefficient in tasks that involve diversities in scale, perspective, reference frame, and dimension. This paper proposes a solution to this problem using a coordinated, tablet- and HMD-based, hybrid virtual environment system. Wearing a non-occlusive HMD, the user is able to view and interact with a tablet mounted on the non-dominant forearm, which provides a multi-touch interaction surface, as well as an exocentric God view of the virtual world. To reduce transition gaps across 3D interaction tasks and interfaces, four coordination mechanisms are proposed, two of which were implemented, and one was evaluated in a user study featuring complex level-editing tasks. Based on subjective ratings, task performance, interview feedback, and video analysis, we found that having multiple Interaction Contexts (ICs) with complementary benefits can lead to good performance and user experience, despite the complexity of learning and using the hybrid system. The results also suggest keeping 3DUI tasks synchronized across the ICs, as this can help users understand their relationships, smoothen within- and between-task IC transitions, and inspire more creative use of different interfaces.},
  isbn = {978-1-4503-2820-3}
}",10.1145/2659766.2659777,,,,,,,,x,,,x,,,,,,,,,,,,x,,,x,x,x,,,x,,,,,,x,,x,,x,,,,x,x,x,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
32,2015,"Jens Grubert, Matthias Heinisch, Aaron Quigley, Dieter Schmalstieg",MultiFi: Multi Fidelity Interaction with Displays On and Around the Body,"@inproceedings{grubert2015multifi,
  title = {{{MultiFi}}: {{Multi Fidelity Interaction}} with {{Displays On}} and {{Around}} the {{Body}}},
  shorttitle = {{{MultiFi}}},
  booktitle = {Proceedings of the 33rd {{Annual ACM Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Grubert, Jens and Heinisch, Matthias and Quigley, Aaron and Schmalstieg, Dieter},
  year = {2015},
  month = apr,
  series = {{{CHI}} '15},
  pages = {3933--3942},
  publisher = {Association for Computing Machinery},
  address = {Seoul, Republic of Korea},
  doi = {10.1145/2702123.2702331},
  abstract = {Display devices on and around the body such as smartwatches, head-mounted displays or tablets enable users to interact on the go. However, diverging input and output fidelities of these devices can lead to interaction seams that can inhibit efficient mobile interaction, when users employ multiple devices at once. We present MultiFi, an interactive system that combines the strengths of multiple displays and overcomes the seams of mobile interaction with widgets distributed over multiple devices. A comparative user study indicates that combined head-mounted display and smartwatch interfaces can outperform interaction with single wearable devices.},
  isbn = {978-1-4503-3145-6}
}",10.1145/2702123.2702331,x,,,,,,,,x,x,,,,,,,,,,x,,x,x,,x,,,x,,,x,,,,,x,,,,x,x,,x,,,,,,,,,,,,,,,x,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
34,2015,"Paul Tolstoi, Andreas Dippon",Towering defense: An augmented reality multi-device game,"@inproceedings{tolstoi2015towering,
  title = {Towering Defense: {{An}} Augmented Reality Multi-Device Game},
  booktitle = {Proceedings of the 33rd Annual {{ACM}} Conference Extended Abstracts on Human Factors in Computing Systems},
  author = {Tolstoi, Paul and Dippon, Andreas},
  year = {2015},
  series = {Chi Ea '15},
  pages = {89--92},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/2702613.2728659},
  abstract = {This game aims to present a modern approach for interaction between multiple devices, such as a large screen tablet and a smartphone, using the example of a simple game like tower defense. The player interacts with the game on the tablet by using simple touch input and on the smartphone by using Augmented Reality and gestures. The position of the smartphone relative to the tablet is tracked by using feature tracking of the image on the tablet. Depending on the position of the smartphone the player can select different towers or different floors of a tower for additional interaction inside. Additionally selecting a resource node allows a player to mine it by executing the mining gesture with his smartphone. After selecting an enemy the user can perform gesture based interaction to deal damage directly to the selected unit.},
  isbn = {978-1-4503-3146-3}
}",10.1145/2702613.2728659,,,x,,,,,,,x,x,,,,,,,,,,x,,,,x,,,x,,,,x,,,,x,,,x,,x,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,x,
38,2015,"Suzanne Mueller, Andreas Dippon, Gudrun Klinker",Capture the flag: Engaging in a multi-device augmented reality game,"@inproceedings{mueller2015capturea,
  title = {Capture the Flag: {{Engaging}} in a Multi-Device Augmented Reality Game},
  booktitle = {Proceedings of the 2015 International Conference on Interactive Tabletops \&amp; Surfaces},
  author = {Mueller, Suzanne and Dippon, Andreas and Klinker, Gudrun},
  year = {2015},
  series = {Its '15},
  pages = {277--282},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/2817721.2823493},
  abstract = {We present a Capture the Flag based game that investigates the possible engagements in a multi-device game. The distinction between a publicly used space and a player's private space is made and utilized to display different information to players. The tablet and the Augmented Reality component are used to see how players can be drawn to a certain physical space, to create a social and engaging game.},
  isbn = {978-1-4503-3899-8}
}",10.1145/2817721.2823493,,,x,,,,,,,,x,,,,,,,,,,,,x,,x,x,,,x,,,,x,,,,x,,x,,x,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,x,
45,2017,"Caroline Baillard, Matthieu Fradet, Vincent Alleaume, Pierrick Jouet, Anthony Laurent",Multi-device mixed reality TV: a collaborative experience with joint use of a tablet and a headset,"@inproceedings{baillard2017multidevice,
  title = {Multi-Device Mixed Reality {{TV}}: A Collaborative Experience with Joint Use of a Tablet and a Headset},
  booktitle = {Proceedings of the 23rd {{ACM}} Symposium on Virtual Reality Software and Technology},
  author = {Baillard, Caroline and Fradet, Matthieu and Alleaume, Vincent and Jouet, Pierrick and Laurent, Anthony},
  year = {2017},
  series = {Vrst '17},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3139131.3141196},
  abstract = {A multi-user experience extending a standard TV content with AR elements is presented. It runs with both a standard tablet and a premium MR headset, the Microsoft HoloLens. A virtual TV mosaic is displayed around the TV screen and used as a GUI to control both TV and MR content. This paper focuses on the collaborative and personalized dimension offered by the experience. Unlike most AR applications, it can be simultaneously run by several users using different devices. The users can share content with others while keeping a personalized display. The added-value of such an extended TV experience has been demonstrated through complementary types of content, and user feedback confirms a real interest in this new kind of home entertainment, at the same time immersive, interactive, collaborative and personalized.},
  articleno = {67},
  isbn = {978-1-4503-5548-3}
}",10.1145/3139131.3141196,x,,,x,,,,,,,,,,,x,,,,,,,x,x,,x,,,,x,,,,x,,,x,,,x,,x,,,x,,,,,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,
46,2018,"Patrick Reipschläger, Burcu Ozkan Kulahcioglu, Aman Mathur Shankar, Stefan Gumhold, Rupak Majumdar, Raimund Dachselt",DebugAR: Mixed Dimensional Displays for Immersive Debugging of Distributed Systems,"@inproceedings{reipschlager2018debugar,
  title = {{{DebugAR}}: {{Mixed Dimensional Displays}} for {{Immersive Debugging}} of {{Distributed Systems}}},
  shorttitle = {{{DebugAR}}},
  booktitle = {Extended {{Abstracts}} of the 2018 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}  - {{CHI}} '18},
  author = {Reipschl{\""a}ger, Patrick and Ozkan, Burcu Kulahcioglu and Mathur, Aman Shankar and Gumhold, Stefan and Majumdar, Rupak and Dachselt, Raimund},
  year = {2018},
  pages = {1--6},
  publisher = {ACM Press},
  address = {Montreal QC, Canada},
  doi = {10.1145/3170427.3188679},
  isbn = {978-1-4503-5621-3},
  langid = {english}
}",10.1145/3170427.3188679,x,,,,,,,,,,,,x,,,x,,,,,x,,,,x,,,x,,,,x,,,,x,,,,x,x,,x,,,x,,x,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,x,
